"affix","type","harmony","meaning_kz","meaning_ru","rule","pos_compatibility","example_kz","example_ru","rule_explanation_kz","meaning_en"
"лар","plural","back","көптік жалғау","множественное число","after_vowel","n","бала+лар=балалар","дети","Дауысты және үнді дыбыстардан кейін","plural"
"лер","plural","front","көптік жалғау","множественное число","after_vowel","n","әже+лер=әжелер","бабушки","Дауысты және үнді дыбыстардан кейін","plural"
"дар","plural","back","көптік жалғау","множественное число","after_voiced_consonant","n","аға+дар=ағалар","старшие братья","Ұяң дауыссыздардан кейін","plural"
"дер","plural","front","көптік жалғау","множественное число","after_voiced_consonant","n","көл+дер=көлдер","озера","Ұяң дауыссыздардан кейін","plural"
"тар","plural","back","көптік жалғау","множественное число","after_unvoiced_consonant","n","мектеп+тар=мектептер","школы","Қатаң дауыссыздардан кейін","plural"
"тер","plural","front","көптік жалғау","множественное число","after_unvoiced_consonant","n","сөз+тер=сөздер","слова","Қатаң дауыссыздардан кейін","plural"
"дың","genitive","back","ілік септік","родительный падеж","after_voiced_consonant","n","бала+дың=баланың","ребенка","Үнді және ұяң дауыссыздардан кейін","genitive case"
"дің","genitive","front","ілік септік","родительный падеж","after_voiced_consonant","n","көл+дің=көлдің","озера","Үнді және ұяң дауыссыздардан кейін","genitive case"
"тың","genitive","back","ілік септік","родительный падеж","after_unvoiced_consonant","n","мектеп+тың=мектептің","школы","Қатаң дауыссыздардан кейін","genitive case"
"тің","genitive","front","ілік септік","родительный падеж","after_unvoiced_consonant","n","сөз+тің=сөздің","слова","Қатаң дауыссыздардан кейін","genitive case"
"ның","genitive","back","ілік септік","родительный падеж","after_vowel","n","ата+ның=атаның","отца","Дауысты дыбыстан кейін","genitive case"
"нің","genitive","front","ілік септік","родительный падеж","after_vowel","n","әже+нің=әженің","бабушки","Дауысты дыбыстан кейін","genitive case"
"ға","dative","back","барыс септік","дательный падеж","after_vowel","n","ата+ға=атаға","отцу","Дауысты дыбыстан кейін","dative case"
"ге","dative","front","барыс септік","дательный падеж","after_vowel","n","әже+ге=әжеге","бабушке","Дауысты дыбыстан кейін","dative case"
"ға","dative","back","барыс септік","дательный падеж","after_voiced_consonant","n","бала+ға=балаға","ребенку","Үнді және ұяң дауыссыздардан кейін","dative case"
"ге","dative","front","барыс септік","дательный падеж","after_voiced_consonant","n","көл+ге=көлге","озеру","Үнді және ұяң дауыссыздардан кейін","dative case"
"қа","dative","back","барыс септік","дательный падеж","after_unvoiced_consonant","n","мектеп+қа=мектепке","школе","Қатаң дауыссыздардан кейін","dative case"
"ке","dative","front","барыс септік","дательный падеж","after_unvoiced_consonant","n","сөз+ке=сөзге","слову","Қатаң дауыссыздардан кейін","dative case"
"ны","accusative","back","табыс септік","винительный падеж","after_vowel","n","ата+ны=атаны","отца","Дауысты дыбыстан кейін","accusative case"
"ні","accusative","front","табыс септік","винительный падеж","after_vowel","n","әже+ні=әжені","бабушку","Дауысты дыбыстан кейін","accusative case"
"ды","accusative","back","табыс септік","винительный падеж","after_voiced_consonant","n","бала+ды=баланы","ребенка","Үнді және ұяң дауыссыздардан кейін","accusative case"
"ді","accusative","front","табыс септік","винительный падеж","after_voiced_consonant","n","көл+ді=көлді","озеро","Үнді және ұяң дауыссыздардан кейін","accusative case"
"ты","accusative","back","табыс септік","винительный падеж","after_unvoiced_consonant","n","мектеп+ты=мектепті","школу","Қатаң дауыссыздардан кейін","accusative case"
"ті","accusative","front","табыс септік","винительный падеж","after_unvoiced_consonant","n","сөз+ті=сөзді","слово","Қатаң дауыссыздардан кейін","accusative case"
"да","locative","back","жатыс септік","местный падеж","after_vowel","n","ата+да=атада","у отца","Дауысты дыбыстан кейін","locative case"
"де","locative","front","жатыс септік","местный падеж","after_vowel","n","әже+де=әжеде","у бабушки","Дауысты дыбыстан кейін","locative case"
"да","locative","back","жатыс септік","местный падеж","after_voiced_consonant","n","бала+да=балада","у ребенка","Үнді және ұяң дауыссыздардан кейін","locative case"
"де","locative","front","жатыс септік","местный падеж","after_voiced_consonant","n","көл+де=көлде","на озере","Үнді және ұяң дауыссыздардан кейін","locative case"
"та","locative","back","жатыс септік","местный падеж","after_unvoiced_consonant","n","мектеп+та=мектепте","в школе","Қатаң дауыссыздардан кейін","locative case"
"те","locative","front","жатыс септік","местный падеж","after_unvoiced_consonant","n","сөз+те=сөзде","в слове","Қатаң дауыссыздардан кейін","locative case"
"нан","ablative","back","шығыс септік","исходный падеж","after_vowel","n","ата+нан=атадан","от отца","Дауысты дыбыстан кейін","ablative case"
"нен","ablative","front","шығыс септік","исходный падеж","after_vowel","n","әже+нен=әжеден","от бабушки","Дауысты дыбыстан кейін","ablative case"
