word,root,affixes,meaning_kz,meaning_ru,pos,structure
ата,ата,,ата,дедушка,n,root
аталар,ата,лар,аталар,дедушки,n,root+plural
атаның,ата,ның,атаның,дедушки (принадлежность),n,root+genitive
атаға,ата,ға,атаға,дедушке,n,root+dative
атаны,ата,ны,атаны,дедушку,n,root+accusative
атада,ата,да,атада,у дедушки,n,root+locative
атадан,ата,дан,атадан,от дедушки,n,root+ablative
атамен,ата,мен,атамен,с дедушкой,n,root+instrumental
атам,ата,м,менің атам,мой дедушка,n,root+possessive1
атаң,ата,ң,сенің атаң,твой дедушка,n,root+possessive2
атасы,ата,сы,оның атасы,его дедушка,n,root+possessive3
атамыз,ата,мыз,біздің атамыз,наш дедушка,n,root+possessive1p
аталары,ата,лары,олардың аталары,их дедушки,n,root+plural+possessive3
аталарың,ата,ларың,сендердің аталарың,ваши дедушки,n,root+plural+possessive2
аталарымыз,ата,ларымыз,біздің аталарымыз,наши дедушки,n,root+plural+possessive1p
аталарға,ата,ларға,аталарға,дедушкам,n,root+plural+dative
аталардан,ата,лардан,аталардан,от дедушек,n,root+plural+ablative
аталармен,ата,лармен,аталармен,с дедушками,n,root+plural+instrumental
аталарда,ата,ларда,аталарда,у дедушек,n,root+plural+locative
аталардың,ата,лардың,аталардың,дедушек (принадлежность),n,root+plural+genitive
бала,бала,,бала,ребенок,n,root
балалар,бала,лар,балалар,дети,n,root+plural
баланың,бала,ның,баланың,ребенка,n,root+genitive
балаға,бала,ға,балаға,ребенку,n,root+dative
баланы,бала,ны,баланы,ребенка (вин.п),n,root+accusative
балада,бала,да,балада,у ребенка,n,root+locative
баладан,бала,дан,баладан,от ребенка,n,root+ablative
баламен,бала,мен,баламен,с ребенком,n,root+instrumental
балам,бала,м,менің балам,мой ребенок,n,root+possessive1
балаң,бала,ң,сенің балаң,твой ребенок,n,root+possessive2
баласы,бала,сы,оның баласы,его ребенок,n,root+possessive3
баламыз,бала,мыз,біздің баламыз,наш ребенок,n,root+possessive1p
