affix,type,subtype,meaning_kz,meaning_ru,category,harmony,rule
лар,көптік,plural,көптік жалғау,множественное число,inflection,back,дауысты/үндіден кейін
лер,көптік,plural,көптік жалғау,множественное число,inflection,front,дауысты/үндіден кейін
дар,көптік,plural,көптік жалғау,множественное число,inflection,back,ұяң дауыссыздан кейін
дер,көптік,plural,көптік жалғау,множественное число,inflection,front,ұяң дауыссыздан кейін
тар,көптік,plural,көптік жалғау,множественное число,inflection,back,қатаң дауыссыздан кейін
тер,көптік,plural,көптік жалғау,множественное число,inflection,front,қатаң дауыссыздан кейін
ның,септік,genitive,ілік септік,родительный падеж,inflection,back,дауыстыдан кейін
нің,септік,genitive,ілік септік,родительный падеж,inflection,front,дауыстыдан кейін
тың,септік,genitive,ілік септік,родительный падеж,inflection,back,қатаң дауыссыздан кейін
тің,септік,genitive,ілік септік,родительный падеж,inflection,front,қатаң дауыссыздан кейін
дың,септік,genitive,ілік септік,родительный падеж,inflection,back,ұяң дауыссыздан кейін
дің,септік,genitive,ілік септік,родительный падеж,inflection,front,ұяң дауыссыздан кейін
ға,септік,dative,барыс септік,дательный падеж,inflection,back,дауысты/ұяңнан кейін
ге,септік,dative,барыс септік,дательный падеж,inflection,front,дауысты/ұяңнан кейін
қа,септік,dative,барыс септік,дательный падеж,inflection,back,қатаң дауыссыздан кейін
ке,септік,dative,барыс септік,дательный падеж,inflection,front,қатаң дауыссыздан кейін
ны,септік,accusative,табыс септік,винительный падеж,inflection,back,дауыстыдан кейін
ні,септік,accusative,табыс септік,винительный падеж,inflection,front,дауыстыдан кейін
ды,септік,accusative,табыс септік,винительный падеж,inflection,back,ұяң дауыссыздан кейін
ді,септік,accusative,табыс септік,винительный падеж,inflection,front,ұяң дауыссыздан кейін
ты,септік,accusative,табыс септік,винительный падеж,inflection,back,қатаң дауыссыздан кейін
ті,септік,accusative,табыс септік,винительный падеж,inflection,front,қатаң дауыссыздан кейін
да,септік,locative,жатыс септік,местный падеж,inflection,back,дауысты/ұяңнан кейін
де,септік,locative,жатыс септік,местный падеж,inflection,front,дауысты/ұяңнан кейін
та,септік,locative,жатыс септік,местный падеж,inflection,back,қатаң дауыссыздан кейін
те,септік,locative,жатыс септік,местный падеж,inflection,front,қатаң дауыссыздан кейін
нан,септік,ablative,шығыс септік,исходный падеж,inflection,back,дауыстыдан кейін
нен,септік,ablative,шығыс септік,исходный падеж,inflection,front,дауыстыдан кейін
дан,септік,ablative,шығыс септік,исходный падеж,inflection,back,ұяң дауыссыздан кейін
ден,септік,ablative,шығыс септік,исходный падеж,inflection,front,ұяң дауыссыздан кейін
тан,септік,ablative,шығыс септік,исходный падеж,inflection,back,қатаң дауыссыздан кейін
тен,септік,ablative,шығыс септік,исходный падеж,inflection,front,қатаң дауыссыздан кейін
мен,септік,instrumental,көмектес септік,творительный падеж,inflection,back,дауыстыдан кейін
бен,септік,instrumental,көмектес септік,творительный падеж,inflection,back,ұяң дауыссыздан кейін
пен,септік,instrumental,көмектес септік,творительный падеж,inflection,back,қатаң дауыссыздан кейін
м,тәуелдік,poss1,1-жақ тәуелдік,1 лицо притяжательное,inflection,both,дауыстыдан кейін
ң,тәуелдік,poss2,2-жақ тәуелдік,2 лицо притяжательное,inflection,both,дауыстыдан кейін
ы,тәуелдік,poss3,3-жақ тәуелдік,3 лицо притяжательное,inflection,back,дауыссыздан кейін
і,тәуелдік,poss3,3-жақ тәуелдік,3 лицо притяжательное,inflection,front,дауыссыздан кейін
сы,тәуелдік,poss3,3-жақ тәуелдік,3 лицо притяжательное,inflection,back,дауыстыдан кейін
сі,тәуелдік,poss3,3-жақ тәуелдік,3 лицо притяжательное,inflection,front,дауыстыдан кейін
мыз,тәуелдік,poss1p,1-жақ көпше тәуелдік,1 лицо мн.ч. притяжательное,inflection,back,дауыстыдан кейін
міз,тәуелдік,poss1p,1-жақ көпше тәуелдік,1 лицо мн.ч. притяжательное,inflection,front,дауыстыдан кейін
ымыз,тәуелдік,poss1p,1-жақ көпше тәуелдік,1 лицо мн.ч. притяжательное,inflection,back,дауыссыздан кейін
іміз,тәуелдік,poss1p,1-жақ көпше тәуелдік,1 лицо мн.ч. притяжательное,inflection,front,дауыссыздан кейін
мын,жіктік,cop1,1-жақ жекеше,1 лицо ед.ч.,inflection,back,дауыстыдан кейін
мін,жіктік,cop1,1-жақ жекеше,1 лицо ед.ч.,inflection,front,дауыстыдан кейін
сың,жіктік,cop2,2-жақ жекеше,2 лицо ед.ч.,inflection,back,дауыстыдан кейін
сің,жіктік,cop2,2-жақ жекеше,2 лицо ед.ч.,inflection,front,дауыстыдан кейін
ды,жіктік,cop3,3-жақ жекеше,3 лицо ед.ч.,inflection,back,дауысты/ұяңнан кейін
ді,жіктік,cop3,3-жақ жекеше,3 лицо ед.ч.,inflection,front,дауысты/ұяңнан кейін
ты,жіктік,cop3,3-жақ жекеше,3 лицо ед.ч.,inflection,back,қатаң дауыссыздан кейін
ті,жіктік,cop3,3-жақ жекеше,3 лицо ед.ч.,inflection,front,қатаң дауыссыздан кейін
