jyrnaq,type,meaning_kz,meaning_ru,meaning_en,pos_result,harmony,rule,example
шы,professional,мамандық иесі,профессия,profession,n,both,дауыстыдан кейін,оқу+шы=оқушы
ші,professional,мамандық иесі,профессия,profession,n,front,дауыстыдан кейін,жұмыс+шы=жұмысшы
лық,abstract,абстрактілі зат есім,абстрактное существительное,abstract noun,n,back,дауыстыдан кейін,жақсы+лық=жақсылық
лік,abstract,абстрактілі зат есім,абстрактное существительное,abstract noun,n,front,дауыстыдан кейін,көркем+дік=көркемдік
дық,abstract,абстрактілі зат есім,абстрактное существительное,abstract noun,n,back,ұяң дауыссыздан кейін,бала+лық=балалық
дік,abstract,абстрактілі зат есім,абстрактное существительное,abstract noun,n,front,ұяң дауыссыздан кейін,көл+дік=көлдік
тық,abstract,абстрактілі зат есім,абстрактное существительное,abstract noun,n,back,қатаң дауыссыздан кейін,мектеп+тік=мектептік
тік,abstract,абстрактілі зат есім,абстрактное существительное,abstract noun,n,front,қатаң дауыссыздан кейін,сөз+дік=сөздік
сыз,negative,жоқтық,отсутствие,without,adj,both,дауыстыдан кейін,бала+сыз=баласыз
сіз,negative,жоқтық,отсутствие,without,adj,front,дауыстыдан кейін,көл+сіз=көлсіз
ғы,gerund,есімше,причастие,participle,adj,back,дауыстыдан кейін,оқы+ған=оқыған
гі,gerund,есімше,причастие,participle,adj,front,дауыстыдан кейін,кел+ген=келген
қы,gerund,есімше,причастие,participle,adj,back,қатаң дауыссыздан кейін,жат+қан=жатқан
кі,gerund,есімше,причастие,participle,adj,front,қатаң дауыссыздан кейін,жет+кен=жеткен
дай,comparative,теңеу,сравнение,comparative,adv,both,дауыстыдан кейін,ата+дай=атадай
дей,comparative,теңеу,сравнение,comparative,adv,front,дауыстыдан кейін,әже+дей=әжедей
лай,comparative,теңеу,сравнение,comparative,adv,back,дауыссыздан кейін,бала+дай=баладай
лей,comparative,теңеу,сравнение,comparative,adv,front,дауыссыздан кейін,көл+дей=көлдей
рақ,comparative_adj,салыстырмалы,сравнительная степень,comparative,adj,back,дауыстыдан кейін,жақсы+рақ=жақсырақ
рек,comparative_adj,салыстырмалы,сравнительная степень,comparative,adj,front,дауыстыдан кейін,әдемі+рек=әдемірек
ыл,passive,ырықсыз етіс,страдательный залог,passive,v,back,дауыссыздан кейін,жаз+ыл=жазыл
іл,passive,ырықсыз етіс,страдательный залог,passive,v,front,дауыссыздан кейін,кел+ін=келін
ын,reflexive,өздік етіс,возвратный залог,reflexive,v,back,дауыссыздан кейін,жу+ын=жуын
ін,reflexive,өздік етіс,возвратный залог,reflexive,v,front,дауыссыздан кейін,ки+ін=киін
ыс,cooperative,ортақ етіс,совместный залог,cooperative,v,back,дауыссыздан кейін,сөйле+с=сөйлес
іс,cooperative,ортақ етіс,совместный залог,cooperative,v,front,дауыссыздан кейін,көр+іс=көріс
дыр,causative,өзгелік етіс,понудительный залог,causative,v,back,дауыстыдан кейін,оқы+т=оқыт
дір,causative,өзгелік етіс,понудительный залог,causative,v,front,дауыстыдан кейін,кел+т=келт
қыз,causative,өзгелік етіс,понудительный залог,causative,v,back,қатаң дауыссыздан кейін,жат+қыз=жатқыз
кіз,causative,өзгелік етіс,понудительный залог,causative,v,front,қатаң дауыссыздан кейін,жет+кіз=жеткіз
ма,negative,болымсыз етістік,отрицательный глагол,negative,v,both,дауыстыдан кейін,бар+ма=барма
ме,negative,болымсыз етістік,отрицательный глагол,negative,v,front,дауыстыдан кейін,кел+ме=келме
ба,negative,болымсыз етістік,отрицательный глагол,negative,v,back,ұяң дауыссыздан кейін,жаз+ба=жазба
бе,negative,болымсыз етістік,отрицательный глагол,negative,v,front,ұяң дауыссыздан кейін,көр+бе=көрме
па,negative,болымсыз етістік,отрицательный глагол,negative,v,back,қатаң дауыссыздан кейін,жат+па=жатпа
пе,negative,болымсыз етістік,отрицательный глагол,negative,v,front,қатаң дауыссыздан кейін,кет+пе=кетпе
