"root","pos","meaning_kz","meaning_ru","harmony","meaning_en"
"кітап","n","кітап","книга","back","книга"
"бала","n","бала","ребенок","back","ребенок"
"үй","n","үй","дом","front","дом"
"әже","n","әже","бабушка","front","бабушка"
"ата","n","ата","дедушка","back","дедушка"
"мектеп","n","мектеп","школа","back","школа"
"оқушы","n","оқушы","ученик","back","ученик"
"мұғалім","n","мұғалім","учитель","front","учитель"
"дос","n","дос","друг","back","друг"
"қала","n","қала","город","back","город"
"ауыл","n","ауыл","деревня","back","деревня"
"көше","n","көше","улица","front","улица"
"көл","n","көл","озеро","front","озеро"
"тау","n","тау","гора","back","гора"
"өзен","n","өзен","река","front","река"
"орман","n","орман","лес","back","лес"
"бақ","n","бақ","сад","back","сад"
"бау","n","бау","сарай","back","сарай"
"жер","n","жер","земля","back","земля"
"су","n","су","вода","back","вода"
"ауа","n","ауа","воздух","back","воздух"
"от","n","от","огонь","back","огонь"
"жарық","n","жарық","свет","back","свет"
"күн","n","күн","солнце","front","солнце"
"ай","n","ай","луна","back","луна"
"жұлдыз","n","жұлдыз","звезда","back","звезда"
"аспан","n","аспан","небо","back","небо"
"бұлт","n","бұлт","облако","back","облако"
"жаңбыр","n","жаңбыр","дождь","back","дождь"
"қар","n","қар","снег","back","снег"
"жел","n","жел","ветер","back","ветер"
"дауыл","n","дауыл","буря","back","буря"
"найзағай","n","найзағай","молния","back","молния"
"кемпірқосақ","n","кемпірқосақ","радуга","front","радуга"
"адам","n","адам","человек","back","человек"
"ер","n","ер","мужчина","back","мужчина"
"әйел","n","әйел","женщина","front","женщина"
"балақай","n","балақай","малыш","back","малыш"
"жігіт","n","жігіт","парень","front","парень"
"қыз","n","қыз","девушка","back","девушка"
"бойжеткен","n","бойжеткен","девушка","back","девушка"
"сәби","n","сәби","младенец","front","младенец"
"нәресте","n","нәресте","младенец","front","младенец"
"ана","n","ана","мать","back","мать"
"әке","n","әке","отец","front","отец"
"шеше","n","шеше","мама","front","мама"
"тәте","n","тәте","тетя","front","тетя"
"апа","n","апа","старшая сестра","back","старшая сестра"
"қарындас","n","қарындас","младшая сестра","back","младшая сестра"
"іні","n","іні","младший брат","front","младший брат"
"аға","n","аға","старший брат","back","старший брат"
"жиен","n","жиен","племянник","front","племянник"
"немере","n","немере","внук","front","внук"
"шөбере","n","шөбере","правнук","front","правнук"
"ата-ана","n","ата-ана","родители","back","родители"
"отбасы","n","отбасы","семья","back","семья"
"жанұя","n","жанұя","семья","back","семья"
"тұыс","n","тұыс","родственник","back","родственник"
"туған","n","туған","родной","back","родной"
"дос-жаран","n","дос-жаран","друзья","back","друзья"
"көрші","n","көрші","сосед","front","сосед"
"таныс","n","таныс","знакомый","back","знакомый"
"бөтен","n","бөтен","чужой","front","чужой"
"қонақ","n","қонақ","гость","back","гость"
"мейман","n","мейман","гость","front","гость"
"үй иесі","n","үй иесі","хозяин дома","front","хозяин дома"
"қызметкер","n","қызметкер","работник","back","работник"
"жұмысшы","n","жұмысшы","рабочий","back","рабочий"
"дәрігер","n","дәрігер","врач","front","врач"
"емші","n","емші","врач","front","врач"
"мейірбике","n","мейірбике","медсестра","front","медсестра"
"инженер","n","инженер","инженер","front","инженер"
"мұнайшы","n","мұнайшы","нефтяник","back","нефтяник"
"егінші","n","егінші","земледелец","front","земледелец"
"диқан","n","диқан","крестьянин","back","крестьянин"
"шаруа","n","шаруа","крестьянин","back","крестьянин"
"малшы","n","малшы","пастух","back","пастух"
"бақташы","n","бақташы","пастух","back","пастух"
"шопан","n","шопан","чабан","back","чабан"
"жазушы","n","жазушы","писатель","back","писатель"
"ақын","n","ақын","поэт","back","поэт"
"жырау","n","жырау","певец","back","певец"
"журналист","n","журналист","журналист","back","журналист"
"тілші","n","тілші","корреспондент","front","корреспондент"
"фотограф","n","фотограф","фотограф","back","фотограф"
"суретші","n","суретші","художник","front","художник"
"мүсінші","n","мүсінші","скульптор","front","скульптор"
"сәулетші","n","сәулетші","архитектор","front","архитектор"
"құрылысшы","n","құрылысшы","строитель","back","строитель"
"жөндеуші","n","жөндеуші","ремонтник","front","ремонтник"
"жүргізуші","n","жүргізуші","водитель","front","водитель"
"шафер","n","шафер","водитель","back","водитель"
"ұшқыш","n","ұшқыш","летчик","back","летчик"
"машинист","n","машинист","машинист","back","машинист"
"теміржолшы","n","теміржолшы","железнодорожник","back","железнодорожник"
"теңізші","n","теңізші","моряк","front","моряк"
"балықшы","n","балықшы","рыбак","back","рыбак"
"аңшы","n","аңшы","охотник","back","охотник"
"орманшы","n","орманшы","лесник","back","лесник"
